航次ID,船舶ID,进泊时间,离泊时间,船长,船宽,载重吨,船舶类型代码A,船舶类型代码B,泊位位置,装载量
30,413266920,1678326199,1678416924,110,18,4336,A,B,121.89868694105951 29.931472410600644,2345.67
31,440918000,1684992177,1685066848,101,16,5555,C,B,121.77782813498385 29.974398546735802,4784.84
32,538008922,1705341712,1705388426,200,32,63591,E,D,121.88299170323923 29.936601974988143,14500
33,240446000,1703243133,1703376498,289,45,174240,E,D,121.88299170323923 29.936601974988143,70710
34,357463000,1685881416,1686039274,399,59,198886,B,A,122.01772291936598 29.776682898612826,7936
35,636017848,1674448832,1674619791,295,46,180156,E,D,121.88299170323923 29.936601974988143,86553
36,374886000,1706108909,1706269866,399,54,210475,B,A,122.0464197431265 29.8909733510863,269.4
37,353857000,1682935185,1683017839,107,17,6485,C,B,121.89581318351006 29.93222177093501,6001.65
38,563061700,1686118895,1686294260,333,60,307573,D,C,121.81345119675835 29.956549406214588,129255.36
39,538010023,1700903929,1700983173,227,36,69991,E,D,122.07685838333425 29.893054494052702,20500
40,636018986,1688618449,1688779663,300,50,208574,E,D,122.07685838333425 29.893054494052702,90358
41,373855000,1691480651,1691568735,292,45,181488,E,D,122.07685838333425 29.893054494052702,77204
42,538009085,1693702577,1693814556,336,60,299997,D,C,121.99610422984635 29.92340472293356,142121.06
43,241316000,1677648653,1677800782,292,45,179033,E,D,121.88299170323923 29.936601974988143,68200
44,538007028,1676601355,1676770443,225,36,54630,A,C,121.9808752760512 29.936644381754785,22463
45,441354000,1676858398,1677028556,121,20,12755,C,B,121.89581318351006 29.93222177093501,2858.01
46,566252000,1691287745,1691540935,225,36,54593,A,C,121.97377818306916 29.945100713933336,46934.67
47,416072000,1676686157,1676856172,149,24,19999,C,B,121.89906923112821 29.93256276320894,3000
48,477915400,1683956216,1684132386,292,45,178332,E,D,122.07685838333425 29.893054494052702,79846
49,538010654,1691484281,1691523406,148,23,13320,B,A,122.03102823282664 29.89508922632821,100
50,240585000,1681085666,1681183007,289,45,171810,E,D,121.88299170323923 29.936601974988143,79709
51,538008515,1674916345,1675045313,292,45,177947,E,D,121.88299170323923 29.936601974988143,76800
52,563084400,1681389604,1681519043,347,42,110387,B,A,122.05636332082932 29.890401487700096,700
53,212353000,1693761009,1693822301,304,40,80262,B,A,121.84116957510483 29.944137794036124,371
54,538008515,1674916345,1675045313,292,45,177947,E,D,121.88299170323923 29.936601974988143,96008
55,636018553,1677120133,1677167614,228,32,46131,B,A,121.84116957510483 29.944137794036124,8893.9
56,477938700,1676687566,1676770914,146,22,12000,D,C,122.11536286626986 29.9081121196694,10235
57,477266100,1685768595,1685847447,93,15,3992,C,B,121.75102788409284 29.976417555460966,1218.12
58,441442000,1698834205,1698883700,146,22,12581,B,A,121.92225542141885 29.921236299120544,1108.2
59,447190000,1679813552,1680331532,333,60,316884,D,C,121.8177632951752 29.95400256789684,64546
60,574004960,1697171468,1697326969,182,31,45942,D,C,121.75109782011569 29.9804931127261,33492.88
61,563169300,1674631074,1674882388,250,44,109999,D,C,121.9900784144446 29.92800063526856,71348.23
62,538004898,1701342041,1701405183,239,38,98704,E,D,121.88299170323923 29.936601974988143,38000
63,636022522,1705563038,1705900651,292,45,178006,E,D,122.07685838333425 29.893054494052702,174441
64,477947600,1697863987,1697891675,261,32,50006,B,A,122.03704830124349 29.893930377836373,1620.2
65,416068000,1693439613,1693525157,149,24,19999,C,B,121.89906923112821 29.93256276320894,14999.6
66,566407000,1674586803,1674645725,354,46,125307,B,A,122.00991809253446 29.771098138093954,6187
67,413375920,1685606517,1685679503,97,15,4078,C,B,121.9529721578593 29.94995541645756,3144.74
68,563144100,1686118780,1686358703,229,37,55068,A,C,121.74391419091693 29.98181953364116,45492.45
69,477809800,1702548792,1702615789,172,28,24672,B,A,122.03102823282664 29.89508922632821,233.8
70,477346700,1685351514,1685434987,128,20,13083,C,B,121.89581318351006 29.93222177093501,3000
71,477277000,1690100133,1690177758,180,32,44411,C,C,121.77782813498385 29.974398546735802,6167.16
72,566013000,1697435490,1697593755,224,36,54505,A,C,121.9808752760512 29.936644381754785,24150
73,636015471,1692162484,1692344645,330,60,297258,D,C,121.99610422984635 29.92340472293356,133003.1
74,636016378,1691576607,1691728745,300,46,93585,A,C,122.09094289999453 29.897187190163223,70184
75,538003558,1704202393,1704305071,288,45,169098,E,D,121.88299170323923 29.936601974988143,72477
76,432982000,1693792558,1693965879,292,45,180646,E,D,122.07685838333425 29.893054494052702,92068.73
77,477524600,1692428139,1692595858,183,32,45809,C,B,121.75109782011569 29.9804931127261,39802.32
78,413700420,1690568850,1690603203,193,28,24376,B,A,122.03102823282664 29.89508922632821,2058
79,477098300,1675917928,1676002564,292,45,181366,E,D,122.07685838333425 29.893054494052702,74338
80,440037000,1702879672,1702951143,96,15,3197,A,B,121.89906923112821 29.93256276320894,1551.08
81,636018485,1704613446,1704755411,292,45,180682,E,D,122.07685838333425 29.893054494052702,80996
82,309904000,1683773051,1683949624,314,50,121823,A,C,122.09094289999453 29.897187190163223,94088.39
83,563098400,1703438272,1703491758,172,28,22081,B,A,122.02459458045499 29.78192432924778,3452
84,205761000,1687773024,1688263589,333,60,299010,D,C,121.8177632951752 29.95400256789684,271482.24
85,477346700,1704940557,1705037220,128,20,13083,C,B,121.9561103968495 29.95190766488247,5758.42
86,212289000,1688394222,1688431369,170,28,23629,B,A,121.93228463787132 29.940084640162464,2457
87,563149500,1678809823,1678893913,301,40,83964,B,A,121.86982971079169 29.93642695035784,414
88,477621300,1683884879,1684108911,186,32,45740,D,C,121.75439821138373 29.979150371202415,37546.54
89,215183000,1674974161,1675021691,294,32,65890,B,A,121.86670274091357 29.937366869184032,230
90,564345000,1703233449,1703333470,334,46,104397,B,A,122.00991809253446 29.771098138093954,2390.5
91,416065000,1690448582,1690527837,149,24,19999,C,B,121.89906923112821 29.93256276320894,7999.63
92,310755000,1684135862,1684377807,290,46,87760,A,C,122.09094289999453 29.897187190163223,72302
93,477537300,1703221779,1703403183,333,60,318129,D,C,121.8177632951752 29.95400256789684,121183.68
94,248107000,1693900569, None,274,48,149999,D,C,121.81345119675835 29.956549406214588,131755.95
95,255806485,1693519900,1693550010,229,32,42614,B,A,122.04040625503215 29.89264034445189,1398
96,636018700,1677973866,1678075646,368,51,152343,B,A,122.02107120092448 29.778912029292396,252.4
97,353465000,1697069060,1697155052,96,16,3177,A,B,121.89868694105951 29.931472410600644,1595.46
98,477045100,1674628886,1674887368,226,37,54747,A,C,121.74391419091693 29.98181953364116,46649.03
99,356893000,1677541024,1677601288,194,28,24973,B,A,122.06350371165705 29.891022988210633,1158
100,352978199,1694649131,1694760443,400,62,241960,B,A,122.01772291936598 29.776682898612826,513
101,219526000,1690452702,1690545965,300,45,105846,B,A,122.04954154331483 29.890458695384908,2293
102,477836900,1698478719,1698632010,330,48,132421,B,A,122.05636332082932 29.890401487700096,11533
103,205778000,1676010807,1676178487,292,45,175591,E,D,121.88299170323923 29.936601974988143,78500
104,477738700,1673885262,1673932654,261,33,50336,B,A,122.03704830124349 29.893930377836373,9120
105,636021614,1705487773,1705533785,208,30,33673,B,A,122.06350371165705 29.891022988210633,725
106,416067000,1675652176,1675825081,149,24,19999,C,B,121.8960833011353 29.93290032975045,17999.95
107,371495000,1675789001,1676002688,292,45,179250,E,D,121.88299170323923 29.936601974988143,153626
108,636018918,1691802914,1691978511,340,60,319471,D,C,121.81345119675835 29.956549406214588,128771.74
109,235554000,1692026754,1692083789,299,42,75898,B,A,121.86014084053872 29.939446239013918,330
110,353402000,1694833436,1695003540,159,27,26029,C,B,121.9529721578593 29.94995541645756,8600
111,240980000,1678775721,1678926521,292,45,179719,E,D,122.07685838333425 29.893054494052702,77076
112,224072000,1677289564,1677394352,290,46,97730,A,C,122.09094289999453 29.897187190163223,72289
113,355898000,1706092006,1706131724,145,22,12598,B,A,121.92225542141885 29.921236299120544,968
114,305545000,1697871437,1697920445,172,28,24774,B,A,122.00491060230848 29.76673611935694,4700
115,538009089,1702442965,1702596080,182,32,46720,C,B,121.75109782011569 29.9804931127261,41044.29
116,477893400,1686973678,1687070846,320,46,90466,B,A,121.86014084053872 29.939446239013918,15440
117,219620000,1690182121,1690331236,399,60,214121,B,A,122.04954154331483 29.890458695384908,12371.5
118,477136400,1688984141,1689047516,90,15,3557,C,B,121.74391419091693 29.98181953364116,1999.9
119,564751000,1699676323,1700096410,179,27,36068,C,B,121.77782813498385 29.974398546735802,9506.59
120,563110500,1703651581,1703747023,230,37,55075,A,C,121.97377818306916 29.945100713933336,12000
121,477024800,1690680316,1690729836,143,23,12715,B,A,121.93228463787132 29.940084640162464,1584
122,477538400,1681197947,1681347405,175,31,40165,C,B,121.75109782011569 29.9804931127261,20000
123,371176000,1686704888,1686964645,183,32,45947,C,B,121.74391419091693 29.98181953364116,40100.68
124,636015514,1697815574,1697935842,366,48,141550,B,A,121.83278587017914 29.947227829201804,17995
125,353700000,1704183106,1704420839,224,36,54502,A,C,121.74391419091693 29.98181953364116,43609.77
126,477813700,1691288878,1691371587,143,23,12737,B,A,121.92225542141885 29.921236299120544,1096
127,232027948,1700817203,1700896846,292,45,178006,E,D,122.07685838333425 29.893054494052702,80000
128,215499000,1685801101,1685878188,300,48,115590,B,A,122.01772291936598 29.776682898612826,15396.3
129,636014059,1683084957,1683175875,258,32,52513,B,A,121.86442501839048 29.938071272210003,12
130,353968000,1683098642,1683239430,294,32,68578,B,A,122.04954154331483 29.890458695384908,2953
131,477776500,1693161960,1693288596,295,46,180364,E,D,121.88299170323923 29.936601974988143,80248
132,565404000,1689743261,1689900112,225,36,54576,A,C,121.97377818306916 29.945100713933336,16908.68
133,212289000,1693160283,1693197985,170,28,23629,B,A,121.92547188203457 29.936120717921202,690
134,636022196,1698412975,1698453227,143,23,13714,B,A,121.83825180579714 29.945235140108068,341
135,412474590,1690083545,1690170554,110,18,4378,A,B,121.89868694105951 29.931472410600644,3950
136,441712000,1693713521,1693800665,109,18,6614,C,B,121.89581318351006 29.93222177093501,5706.69
137,373729000,1697875794,1698031537,228,36,54645,A,B,121.8960833011353 29.93290032975045,47006.7
138,373946000,1702859632,1702967378,240,38,98697,E,D,121.88299170323923 29.936601974988143,50166
139,309333000,1673936798,1674090821,315,50,109484,A,C,122.09094289999453 29.897187190163223,93509.02
140,538005814,1682160739,1682287956,295,46,179492,E,D,121.88299170323923 29.936601974988143,97796
141,636020944,1675486218,1675578167,140,20,13774,C,B,121.78323817164318 29.97243550629892,10194.19
142,477311500,1677632937,1677680954,261,32,49920,B,A,122.00749578533595 29.76871274276176,4048.4
143,565110000,1677016536,1677057678,228,37,51739,B,A,122.00190326744374 29.764757824193353,4688
144,412474590,1701074938,1701139829,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
145,636016980,1684622650,1684725695,278,40,67712,B,A,121.86670274091357 29.937366869184032,468
146,636014996,1677863853,1677951417,305,40,81145,B,A,121.86982971079169 29.93642695035784,10
147,477348700,1704687078,1704767806,148,23,13295,B,A,122.03102823282664 29.89508922632821,1352
148,477856400,1697886853,1697940605,186,36,37502,B,A,121.86670274091357 29.937366869184032,2281
149,256932000,1679722207,1679815792,350,43,107482,B,A,122.02459458045499 29.78192432924778,11354
150,563139600,1694968686,1695025502,175,29,23803,B,A,121.93228463787132 29.940084640162464,400
151,636093035,1701481952,1701583551,115,16,7325,A,B,121.9561103968495 29.95190766488247,3499.48
152,413472910,1673938849,1674028802,119,19,5562,A,B,121.89581318351006 29.93222177093501,5005
153,477767400,1685843404,1686013765,115,18,8587,A,B,121.9561103968495 29.95190766488247,4299.3
154,563082200,1689388174,1689477112,180,28,37328,C,B,121.97812002297549 29.939168019254215,3149.41
155,441425000,1700540451,1700616402,99,18,4392,C,B,121.97812002297549 29.939168019254215,3001
156,447273000,1685522148,1685600273,229,36,54520,A,C,121.97377818306916 29.945100713933336,4000
157,636017268,1702072783,1702083846,292,45,178623,E,D,122.07685838333425 29.893054494052702,81315
158,412474590,1687168637,1687226617,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
159,338796000,1705299648,1705328322,265,35,44200,B,A,121.83825180579714 29.945235140108068,469
160,372733000,1678824816,1679361953,334,48,130573,B,A,121.86014084053872 29.939446239013918,312
161,563113800,1702018928,1702102794,120,19,9120,A,B,121.8960833011353 29.93290032975045,4671.14
162,636020112,1677148123,1677304218,180,32,45282,C,B,121.75109782011569 29.9804931127261,39816.71
163,403529001,1676941211,1677129186,183,32,45471,C,B,121.9529721578593 29.94995541645756,13795.23
164,477232200,1689078334,1689190390,366,48,146507,B,A,122.01772291936598 29.776682898612826,4135.7
165,440550000,1701856444,1701901617,148,23,12664,B,A,121.92909140408368 29.938775522735195,3841.5
166,447275000,1677400399,1677561122,229,36,54503,A,C,121.9808752760512 29.936644381754785,23596
167,477139100,1700538359,1700617421,400,59,201868,B,A,122.01772291936598 29.776682898612826,5237
168,356984000,1684396784,1684568564,399,58,189766,B,A,121.92547188203457 29.936120717921202,4750
169,636022056,1697610663,1697858187,179,32,45286,C,B,121.75109782011569 29.9804931127261,40219.17
170,440824000,1706174630,1706240545,88,14,3414,C,B,121.78323817164318 29.97243550629892,2860
171,477921600,1706191255,1706395203,366,51,161069,B,A,122.04040625503215 29.89264034445189,2736
172,440564000,1704758725,1704843132,97,17,3983,A,B,121.89868694105951 29.931472410600644,1611.63
173,563179600,1692074980,1692241195,183,32,49808,C,C,121.75439821138373 29.979150371202415,22093.15
174,477464800,1692929975,1693008621,141,23,11913,B,A,121.92337754450146 29.91836008290917,547
175,373069000,1683473179,1683523432,366,48,182382,B,A,122.0464197431265 29.8909733510863,3078
176,373918000,1681107218,1681274408,292,45,182097,E,D,122.07685838333425 29.893054494052702,78700
177,241409000,1673322151,1673399609,147,23,14999,A,B,121.89581318351006 29.93222177093501,5248.62
178,440366000,1678025997,1678049623,141,25,12402,B,A,121.92151130212007 29.93412576257949,1197.9
179,636021047,1673423869,1673589669,339,60,298981,D,C,121.9900784144446 29.92800063526856,70404.42
180,447305000,1699674794,1699919072,333,60,323514,D,C,121.8177632951752 29.95400256789684,141843
181,372072000,1682985274,1683068844,96,15,3200,A,B,121.89868694105951 29.931472410600644,1561
182,563037600,1689652449,1689744410,130,23,12689,D,C,122.11536286626986 29.9081121196694,10391.76
183,477347900,1672544913,1672577688,172,28,21355,B,A,121.84116957510483 29.944137794036124,1250
184,416067000,1704592260,1704853702,149,24,19999,C,B,121.89906923112821 29.93256276320894,16000
185,374655000,1694503575,1694660938,230,38,54243,A,C,121.74391419091693 29.98181953364116,22444.49
186,354223000,1704356223,1704499113,183,33,46432,D,C,122.11536286626986 29.9081121196694,33000
187,416341000,1689250251,1689292269,165,27,15511,B,A,122.03102823282664 29.89508922632821,691
188,477369300,1697521600,1697693550,330,60,307434,D,C,121.8177632951752 29.95400256789684,147461.56
189,636016703,1675813821,1675890245,259,37,57320,B,A,122.00190326744374 29.764757824193353,3984
190,355898000,1680400213,1680481117,145,22,12598,B,A,121.92337754450146 29.91836008290917,726
191,351840000,1701768422,1701861112,180,32,44936,C,B,121.75109782011569 29.9804931127261,40265.54
192,538007681,1686315700,1686390563,262,33,49891,B,A,122.03102823282664 29.89508922632821,1205
193,477855300,1676693359,1676935595,333,60,313992,D,C,121.99610422984635 29.92340472293356,253954.98
194,563184000,1693622601,1693706721,96,16,3191,A,B,121.89868694105951 29.931472410600644,1556.51
195,477811600,1691297002,1691379162,129,22,13692,C,B,121.89581318351006 29.93222177093501,2967.21
196,355224000,1693516639,1693560194,172,27,22389,B,A,122.01772291936598 29.776682898612826,1013.3
197,636020599,1682277240,1682479097,400,61,255288,B,A,122.04040625503215 29.89264034445189,8481
198,431653000,1693455596,1693538662,230,37,49999,A,C,121.97377818306916 29.945100713933336,11354.88
199,241058000,1677303235,1677395224,292,45,180391,E,D,122.07685838333425 29.893054494052702,82000
200,477131600,1689913352,1690071237,292,45,178438,E,D,122.07685838333425 29.893054494052702,81865
201,563491000,1678006324,1678047038,255,37,65128,B,A,121.86670274091357 29.937366869184032,1300
202,477770300,1676962613,1677035932,334,43,107978,B,A,122.06000013409714 29.890552673105862,3000
203,563173400,1688384107,1688433585,0,0,36919,B,A,122.00491060230848 29.76673611935694,5400
204,352001217,1700461328,1700632914,109,18,6831,C,B,121.89581318351006 29.93222177093501,6250.48
205,477439900,1692789435,1692835885,148,23,13273,B,A,122.03102823282664 29.89508922632821,4000
206,538003775,1685958260,1686086246,292,45,177773,E,D,121.88299170323923 29.936601974988143,78927
207,477836900,1691484761,1691600602,330,48,132421,B,A,122.06000013409714 29.890552673105862,2650.9
208,477476800,1688895614,1688988561,400,60,184320,B,A,122.02107120092448 29.778912029292396,32383.5
209,354331000,1697611258,1697782267,183,32,46661,C,C,121.80463577215305 29.962969225989433,39920.46
210,440559000,1691482836,1691526438,294,32,63071,B,A,121.83278587017914 29.947227829201804,779
211,351280000,1704612668,1704691810,126,20,12526,C,B,121.78323817164318 29.97243550629892,9999.75
212,369209000,1684751253,1684779119,260,35,54790,B,A,121.83825180579714 29.945235140108068,643.8
213,563097700,1703492841,1703555826,230,36,55239,A,C,121.78323817164318 29.97243550629892,46511.43
214,357138000,1685526468,1685660781,98,16,3764,A,B,121.89868694105951 29.931472410600644,1503
215,477826800,1685446207,1685592981,295,46,182150,E,D,122.07685838333425 29.893054494052702,90978
216,413526060,1690101563,1690185019,146,23,13307,D,C,122.11536286626986 29.9081121196694,10091.86
217,374207000,1689587297,1689818050,108,18,7917,C,B,121.9561103968495 29.95190766488247,3994.34
218,351268000,1700209111,1700228970,242,32,43600,B,A,122.04954154331483 29.890458695384908,2011
219,413453640,1677226416,1677273424,143,23,12545,B,A,122.0464197431265 29.8909733510863,1596
220,441799000,1685081632,1685161619,108,18,6499,C,B,121.89581318351006 29.93222177093501,5712.75
221,413472910,1689375253,1689460644,119,19,5562,A,B,121.89581318351006 29.93222177093501,5005
222,447188000,1701679405,1702082555,333,60,317033,D,C,121.81345119675835 29.956549406214588,267781
223,413148000,1686195655,1686243075,263,32,52191,B,A,122.00190326744374 29.764757824193353,16818
224,538004073,1682754071,1682838401,292,45,181016,E,D,122.07685838333425 29.893054494052702,70777
225,538009582,1686480971,1686716907,185,32,49996,C,B,121.75439821138373 29.979150371202415,40000
226,370252000,1704339679,1704509876,333,60,313998,D,C,121.99610422984635 29.92340472293356,127669.81
227,273215160,1681804750,1681863769,137,21,12828,F,A,121.92225542141885 29.921236299120544,132
228,477770700,1685930062,1686005481,334,43,102834,B,A,122.01299469099648 29.772993330553064,12688.2
229,566828000,1701691306,1701729108,259,37,57830,B,A,121.86982971079169 29.93642695035784,2516
230,563113800,1691821120,1691911126,120,19,9120,A,B,121.8960833011353 29.93290032975045,4763.5
231,477181600,1704358840,1704512327,333,60,318517,D,C,121.81345119675835 29.956549406214588,78350.78
232,477250700,1695277586,1695349574,143,23,12599,B,A,122.06350371165705 29.891022988210633,4392
233,477439900,1679776838,1679840885,148,23,13273,B,A,122.03102823282664 29.89508922632821,203
234,538004575,1685342565,1685519496,333,60,316373,D,C,121.99610422984635 29.92340472293356,255025.76
235,403502000,1706776259,1706854542,183,32,46265,C,B,121.75439821138373 29.979150371202415,4146.59
236,416068000,1706857104,1707018429,149,24,19999,C,B,121.89906923112821 29.93256276320894,17999.59
237,440473000,1675727984,1675756350,143,21,10299,B,A,122.03102823282664 29.89508922632821,710.2
238,219629000,1688264007,1688433844,399,60,214121,B,A,122.04954154331483 29.890458695384908,43300
239,372818000,1688888840,1688945764,168,25,20643,B,A,121.86982971079169 29.93642695035784,147.5
240,477947600,1673677281,1673809936,261,32,50006,B,A,122.06350371165705 29.891022988210633,540
241,416068000,1675405282,1675554389,149,24,19999,C,B,121.8960833011353 29.93290032975045,18000
242,440375000,1687307543,1687352003,148,23,12631,B,A,121.93228463787132 29.940084640162464,656.4
243,538003350,1692669191,1692840216,315,50,121946,A,C,122.09094289999453 29.897187190163223,66102.96
244,477797300,1694926369,1695011242,127,20,12929,C,B,121.78323817164318 29.97243550629892,9998.44
245,440207000,1703475927,1703644019,100,14,2983,A,B,121.74526834273715 29.975417393334514,1967.22
246,374161000,1682230945,1682309052,119,20,11508,C,B,121.78323817164318 29.97243550629892,10000.15
247,373336000,1684383272,1684629263,183,32,46803,C,B,121.74391419091693 29.98181953364116,40518.5
248,311000391,1704948587,1705122250,225,36,54543,A,C,121.9808752760512 29.936644381754785,46904
249,440370000,1692340563,1692505294,99,19,6852,D,C,121.73874655338956 29.973492436335484,5017.57
250,357368000,1687911070,1687936947,145,22,12601,B,A,121.92909140408368 29.938775522735195,484
251,538009826,1693187006,1693360059,227,37,59320,A,B,121.9808752760512 29.936644381754785,25100
252,636021497,1674627509,1674869508,230,36,55145,A,C,121.97377818306916 29.945100713933336,46200
253,440117000,1672632014,1672712079,330,48,134869,B,A,122.05279860785562 29.890331949101153,224
254,372932000,1684542839,1684607022,186,36,37621,B,A,121.84116957510483 29.944137794036124,1450
255,477150200,1687256191,1687396577,183,32,40870,C,B,121.75439821138373 29.979150371202415,2096.17
256,311000725,1706239446,1706308829,142,23,11817,B,A,122.00491060230848 29.76673611935694,121
257,538007237,1701407581,1701585911,292,45,180702,E,D,122.07685838333425 29.893054494052702,80255
258,477848800,1702888096,1703203894,333,60,318292,D,C,121.8177632951752 29.95400256789684,254604.62
259,412474590,1699441737,1699513370,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
260,636018542,1681350009,1681367893,300,48,115600,B,A,122.00991809253446 29.771098138093954,1000
261,412474590,1675739637,1675816801,110,18,4378,A,B,121.89868694105951 29.931472410600644,3950
262,636020254,1682524219,1682564995,196,32,37200,B,A,121.83557254458088 29.946175822681994,3549
263,352002194,1691396345,1691562621,247,42,106808,D,C,121.8177632951752 29.95400256789684,94317.35
264,441799000,1676098902,1676186571,108,18,6499,C,B,121.78323817164318 29.97243550629892,5712
265,441203000,1689479066,1689552884,92,15,3477,C,B,121.97812002297549 29.939168019254215,3003
266,352002209,1706086452,1706230058,244,42,102946,D,C,121.8177632951752 29.95400256789684,94424.34
267,636020771,1684911052,1685172317,330,60,297376,D,C,121.8177632951752 29.95400256789684,132913.3
268,352978269,1693045846,1693268736,175,30,36234,C,B,121.77782813498385 29.974398546735802,14301.57
269,477182300,1703955302,1704135029,366,48,144150,B,A,122.01299469099648 29.772993330553064,20000
270,566013000,1680490427,1680658073,224,36,54505,A,C,121.97377818306916 29.945100713933336,8000
271,636092840,1684300927,1684347317,155,25,17281,B,A,122.00491060230848 29.76673611935694,2619.6
272,477754400,1678428211,1678591789,333,60,307587,D,C,121.8177632951752 29.95400256789684,136800.11
273,441401000,1675206390,1675255305,299,40,85523,B,A,121.83278587017914 29.947227829201804,2169
274,566319000,1688103522,1688163813,349,46,125339,B,A,122.05636332082932 29.890401487700096,1421.3
275,477486400,1677309183,1677391840,183,33,45999,C,B,121.74391419091693 29.98181953364116,12662.17
276,636015875,1687329256,1687493513,182,32,51565,C,C,121.80463577215305 29.962969225989433,40000
277,636021679,1684403760,1684554502,330,60,299847,D,C,121.99610422984635 29.92340472293356,134602.31
278,248633000,1705564437,1705625228,320,46,90647,B,A,122.00749578533595 29.76871274276176,13000
279,441388000,1699654156,1699694428,145,23,12559,B,A,121.92151130212007 29.93412576257949,102.3
280,241392000,1678029034,1678156153,292,45,179177,E,D,121.88299170323923 29.936601974988143,76680
281,563030500,1697667818,1697784680,353,54,178257,B,A,122.04040625503215 29.89264034445189,16952
282,636021097,1692063296,1692112684,146,23,13715,B,A,121.83825180579714 29.945235140108068,594
283,477157400,1686565030,1686651258,400,59,198485,B,A,122.02107120092448 29.778912029292396,5220
284,636092029,1685042640,1685166028,229,38,93039,E,D,121.88299170323923 29.936601974988143,27000
285,563125500,1678519127,1678596684,176,28,23464,B,A,122.03102823282664 29.89508922632821,2976.1
286,353465000,1697951039,1698039828,96,16,3177,A,B,121.89868694105951 29.931472410600644,1620.09
287,374653000,1681826916,1681996915,245,43,117549,E,D,121.88299170323923 29.936601974988143,113003
288,477286200,1685557073,1685676548,366,48,146423,B,A,122.01299469099648 29.772993330553064,12
289,477013900,1704184070,1704351447,333,60,318218,D,C,121.9900784144446 29.92800063526856,269711.43
290,416065000,1697589399,1697692492,149,24,19999,C,B,121.89906923112821 29.93256276320894,2500
291,563059200,1677386372,1677457917,353,54,178257,B,A,122.04040625503215 29.89264034445189,9025
292,636018566,1695350663,1696730810,228,36,54406,A,B,121.97377818306916 29.945100713933336,16000
293,477802400,1680828393,1681095983,292,45,177000,E,D,121.88299170323923 29.936601974988143,173869
294,441203000,1678851664,1678931524,92,15,3477,C,B,121.97812002297549 29.939168019254215,3001
295,477027100,1672846660,1672879383,172,28,21355,B,A,121.84116957510483 29.944137794036124,1056
296,372571000,1676092963,1676180296,119,20,11512,C,B,121.77782813498385 29.974398546735802,10000.25
